,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,OPP,Team_ID_OPP,win?,FGM_OPP,FGA_OPP,FG_PCT_OPP,FG3M_OPP,FG3A_OPP,FG3_PCT_OPP,FTM_OPP,FTA_OPP,FT_PCT_OPP,OREB_OPP,DREB_OPP,REB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,OREB%,DREB%_OPP,DREB%,OREB%_OPP,FGM_diff,FGA_diff,FG_PCT_diff,FG3M_diff,FG3A_diff,FG3_PCT_diff,FTM_diff,FTA_diff,FT_PCT_diff,OREB_diff,DREB_diff,OREB%_diff,DREB%_diff,REB_diff,AST_diff,STL_diff,BLK_diff,TOV_diff,PF_diff,PTS_diff
11,1610612737,22000913,2021-04-25,ATL vs. MIL,W,34,27,0.557,240,40,88,0.455,13,35,0.371,18,23,0.783,5,39,44,23,6,1,9,20,111,ATL,MIL,1610612749,1,39,81,0.481,8,28,0.286,18,23,0.783,4,37,41,20,6,6,12,18,104,0.12,0.88,0.91,0.08999999999999997,1,7,-0.025999999999999968,5,7,0.08500000000000002,0,0,0.0,1,2,0.030000000000000027,0.030000000000000027,3,3,0,-5,-3,2,7
12,1610612737,22000898,2021-04-23,ATL vs. MIA,W,33,27,0.55,240,43,80,0.538,15,35,0.429,17,19,0.895,8,30,38,24,12,2,14,17,118,ATL,MIA,1610612748,1,38,79,0.481,13,37,0.351,14,16,0.875,6,24,30,24,10,5,13,18,103,0.25,0.75,0.83,0.17000000000000004,5,1,0.05700000000000005,2,-2,0.07800000000000001,3,3,0.020000000000000018,2,6,0.07999999999999996,0.07999999999999996,8,0,2,-3,1,-1,15
13,1610612737,22000886,2021-04-21,ATL @ NYK,L,32,27,0.542,265,49,102,0.48,12,34,0.353,17,24,0.708,12,29,41,28,10,3,10,18,127,ATL,NYK,1610612752,0,49,91,0.538,19,35,0.543,20,25,0.8,8,41,49,29,8,3,14,19,137,0.23,0.77,0.78,0.21999999999999997,0,11,-0.05800000000000005,-7,-1,-0.19000000000000006,-3,-1,-0.09200000000000008,4,-12,0.010000000000000037,0.010000000000000009,-8,-1,2,0,-4,-1,-10
14,1610612737,22000876,2021-04-20,ATL vs. ORL,W,32,26,0.552,240,39,94,0.415,9,34,0.265,25,29,0.862,18,47,65,20,6,3,13,22,112,ATL,ORL,1610612753,1,34,86,0.395,8,37,0.216,20,29,0.69,6,34,40,13,11,3,10,19,96,0.35,0.65,0.89,0.10999999999999999,5,8,0.019999999999999962,1,-3,0.049000000000000016,5,0,0.17200000000000004,12,13,0.24,0.24,25,7,-5,0,3,3,16
15,1610612737,22000861,2021-04-18,ATL vs. IND,W,31,26,0.544,240,45,92,0.489,13,32,0.406,26,34,0.765,14,37,51,20,8,7,10,19,129,ATL,IND,1610612754,1,45,92,0.489,10,32,0.313,17,20,0.85,8,33,41,33,7,5,12,27,117,0.3,0.7,0.82,0.18000000000000005,0,0,0.0,3,0,0.09300000000000003,9,14,-0.08499999999999996,6,4,0.11999999999999994,0.12,10,-13,1,2,-2,-8,12
16,1610612737,22000840,2021-04-15,ATL vs. MIL,L,30,26,0.536,240,39,86,0.453,14,34,0.412,17,19,0.895,8,31,39,23,5,4,11,15,109,ATL,MIL,1610612749,0,46,95,0.484,16,43,0.372,12,17,0.706,14,37,51,25,8,1,8,16,120,0.18,0.8200000000000001,0.69,0.31000000000000005,-7,-9,-0.030999999999999972,-2,-9,0.03999999999999998,5,2,0.18900000000000006,-6,-6,-0.13000000000000006,-0.13000000000000012,-12,-2,-3,3,3,-1,-11
17,1610612737,22000824,2021-04-13,ATL @ TOR,W,30,25,0.545,240,40,84,0.476,13,30,0.433,15,22,0.682,8,31,39,21,7,2,13,16,108,ATL,TOR,1610612761,1,42,88,0.477,10,39,0.256,9,13,0.692,6,36,42,16,7,4,13,19,103,0.18,0.8200000000000001,0.84,0.16000000000000003,-2,-4,-0.0010000000000000009,3,-9,0.177,6,9,-0.009999999999999898,2,-5,0.019999999999999962,0.019999999999999907,-3,5,0,-2,0,-3,5
18,1610612737,22000805,2021-04-11,ATL @ CHA,W,29,25,0.537,240,38,84,0.452,17,39,0.436,12,16,0.75,7,34,41,27,7,1,11,11,105,ATL,CHA,1610612766,1,37,80,0.463,15,43,0.349,12,14,0.857,6,32,38,28,5,5,12,14,101,0.18,0.8200000000000001,0.85,0.15000000000000002,1,4,-0.01100000000000001,2,-4,0.08700000000000002,0,2,-0.10699999999999998,1,2,0.02999999999999997,0.029999999999999916,3,-1,2,-4,-1,-3,4
19,1610612737,22000791,2021-04-09,ATL vs. CHI,W,28,25,0.528,240,47,84,0.56,7,27,0.259,19,23,0.826,6,35,41,25,7,4,9,14,120,ATL,CHI,1610612741,1,41,86,0.477,13,33,0.394,13,14,0.929,8,30,38,25,6,1,13,17,108,0.17,0.83,0.81,0.18999999999999995,6,-2,0.08300000000000007,-6,-6,-0.135,6,9,-0.10300000000000009,-2,5,-0.019999999999999934,-0.019999999999999907,3,0,1,3,-4,-3,12
20,1610612737,22000780,2021-04-07,ATL vs. MEM,L,27,25,0.519,240,45,101,0.446,10,28,0.357,13,15,0.867,11,31,42,26,5,3,7,19,113,ATL,MEM,1610612763,0,48,89,0.539,17,40,0.425,18,21,0.857,11,43,54,30,5,5,14,17,131,0.2,0.8,0.74,0.26,-3,12,-0.09300000000000003,-7,-12,-0.068,-5,-6,0.010000000000000009,0,-12,-0.06,-0.06000000000000005,-12,-4,0,-2,-7,2,-18
21,1610612737,22000770,2021-04-06,ATL vs. NOP,W,27,24,0.529,240,44,88,0.5,20,31,0.645,15,22,0.682,10,32,42,24,7,6,11,23,123,ATL,NOP,1610612740,1,37,91,0.407,12,38,0.316,21,28,0.75,16,33,49,24,7,7,14,15,107,0.23,0.77,0.67,0.32999999999999996,7,-3,0.09300000000000003,8,-7,0.329,-6,-6,-0.06799999999999995,-6,-1,-0.09999999999999995,-0.09999999999999998,-7,0,0,-1,-3,8,16
22,1610612737,22000759,2021-04-04,ATL vs. GSW,W,26,24,0.52,240,35,81,0.432,12,32,0.375,35,45,0.778,10,39,49,19,10,3,15,19,117,ATL,GSW,1610612744,1,43,92,0.467,10,40,0.25,15,21,0.714,9,36,45,25,12,6,16,26,111,0.22,0.78,0.81,0.18999999999999995,-8,-11,-0.03500000000000003,2,-8,0.125,20,24,0.06400000000000006,1,3,0.030000000000000054,0.030000000000000027,4,-6,-2,-3,-1,-7,6
23,1610612737,22000742,2021-04-02,ATL @ NOP,W,25,24,0.51,240,49,87,0.563,13,29,0.448,15,21,0.714,6,36,42,25,10,9,15,23,126,ATL,NOP,1610612740,1,38,88,0.432,8,29,0.276,19,23,0.826,5,29,34,22,7,6,15,18,103,0.17,0.83,0.88,0.12,11,-1,0.13099999999999995,5,0,0.172,-4,-2,-0.11199999999999999,1,7,0.05000000000000002,0.050000000000000044,8,3,3,3,0,5,23
24,1610612737,22000735,2021-04-01,ATL @ SAS,W,24,24,0.5,290,50,100,0.5,13,24,0.542,21,26,0.808,10,47,57,28,3,9,12,22,134,ATL,SAS,1610612759,1,49,110,0.445,13,40,0.325,18,24,0.75,11,35,46,25,8,6,6,22,129,0.22,0.78,0.81,0.18999999999999995,1,-10,0.05499999999999999,0,-16,0.21700000000000003,3,2,0.05800000000000005,-1,12,0.030000000000000054,0.030000000000000027,11,3,-5,3,6,0,5
25,1610612737,22000171,2021-03-30,ATL @ PHX,L,23,24,0.489,240,41,85,0.482,13,32,0.406,15,21,0.714,6,30,36,30,9,1,7,17,110,ATL,PHX,1610612756,0,45,88,0.511,12,32,0.375,15,18,0.833,11,38,49,27,6,1,13,14,117,0.14,0.86,0.73,0.27,-4,-3,-0.029000000000000026,1,0,0.031000000000000028,0,3,-0.119,-5,-8,-0.13,-0.13,-13,3,3,0,-6,3,-7
